expense_name,category,cost_in_rs,frequency,ground_truth_type,decision_time_sec,user_decision,correct
New Sneakers,Housing,8123,daily,need,0.64,want,0
Streaming Subscription,Entertainment,465,one-time,want,1.87,need,0
Health Insurance,Medical,2815,weekly,need,3.29,need,1
Snacks,Shopping,4049,monthly,want,2.55,want,1
Fast Food,Entertainment,1916,weekly,want,3.46,want,1
Coffee,Lifestyle,1341,one-time,want,1.1,need,0
Electricity Bill,Food,2419,weekly,need,3.46,need,1
Electricity Bill,Medical,3380,weekly,need,1.44,need,1
Streaming Subscription,Shopping,3722,weekly,want,1.0,want,1
Insurance Premium,Medical,2153,weekly,need,0.61,need,1
Movie Night,Utilities,748,daily,need,1.7,need,1
Petrol,Food,537,weekly,need,1.75,want,0
Concert Ticket,Utilities,2407,one-time,need,0.6,need,1
Streaming Subscription,Food,2377,weekly,need,3.34,need,1
Mobile Recharge,Food,2250,daily,need,3.45,need,1
Water Bill,Housing,19740,weekly,need,0.99,need,1
Medicines,Education,18064,daily,need,2.93,need,1
Online Course,Education,19809,weekly,need,2.5,need,1
Dining Out,Lifestyle,593,monthly,want,2.31,want,1
Taxi Ride,Shopping,1743,weekly,want,1.35,want,1
Emergency Meds,Education,14943,one-time,need,3.18,need,1
Gadgets,Entertainment,1580,one-time,want,1.73,want,1
Party Expenses,Food,2182,weekly,need,2.09,want,0
Laptop EMI,Travel,4521,weekly,want,2.77,want,1
Electricity Bill,Entertainment,2608,monthly,want,2.15,want,1
New Sneakers,Travel,4486,monthly,want,1.16,need,0
Gym Membership,Lifestyle,2898,weekly,want,0.85,need,0
Mobile Recharge,Medical,2702,daily,need,1.75,need,1
Travel Tickets,Food,1200,daily,need,1.61,need,1
Hotel Stay,Education,2538,weekly,need,2.28,need,1
Petrol,Medical,2875,weekly,need,3.2,need,1
Mobile Recharge,Housing,13206,daily,need,0.93,need,1
Snacks,Food,1130,daily,need,2.35,need,1
Hotel Stay,Travel,11680,one-time,want,3.36,want,1
New Sneakers,Food,1656,weekly,need,1.28,need,1
School Fees,Housing,13947,monthly,need,1.29,need,1
Party Expenses,Lifestyle,1480,one-time,want,3.38,want,1
Petrol,Travel,7805,one-time,want,3.29,need,0
Medicines,Medical,4835,monthly,need,0.92,need,1
Doctor Visit,Travel,4335,weekly,want,0.94,want,1
Rent,Housing,15838,daily,need,1.26,want,0
Party Expenses,Travel,2978,weekly,want,1.17,need,0
Party Expenses,Medical,2946,weekly,need,2.57,need,1
Phone EMI,Lifestyle,2668,one-time,want,2.08,want,1
Taxi Ride,Shopping,5913,monthly,want,0.79,want,1
New Sneakers,Food,2481,daily,need,2.89,need,1
Gadgets,Utilities,1074,daily,need,2.58,need,1
School Fees,Food,813,one-time,need,2.3,need,1
Laptop EMI,Housing,13118,monthly,need,3.23,need,1
Salon Visit,Utilities,2721,daily,need,1.76,want,0
Snacks,Utilities,1986,monthly,need,1.83,need,1
Rent,Entertainment,2328,monthly,want,1.89,want,1
Gadgets,Food,181,weekly,need,1.61,need,1
Groceries,Housing,9327,monthly,need,0.58,need,1
Coffee,Education,14839,weekly,need,2.56,need,1
Hotel Stay,Food,1148,one-time,need,3.37,need,1
Emergency Meds,Lifestyle,1698,weekly,want,1.58,need,0
Doctor Visit,Shopping,6069,weekly,want,2.01,want,1
Travel Tickets,Housing,15098,weekly,need,1.45,need,1
Health Insurance,Education,8747,daily,need,2.67,need,1
Mobile Recharge,Travel,1104,weekly,want,1.57,need,0
Doctor Visit,Medical,823,monthly,need,1.07,want,0
Laptop EMI,Lifestyle,2803,monthly,want,3.12,want,1
Streaming Subscription,Entertainment,2879,monthly,want,1.69,want,1
Snacks,Food,703,monthly,need,2.59,need,1
Gift Purchase,Education,17455,monthly,need,3.06,need,1
Taxi Ride,Shopping,642,weekly,want,1.45,want,1
Insurance Premium,Education,7790,one-time,need,0.68,want,0
Gift Purchase,Lifestyle,2672,daily,want,3.05,want,1
Phone EMI,Utilities,808,weekly,need,2.32,need,1
Travel Tickets,Entertainment,1671,weekly,want,1.05,want,1
Mobile Recharge,Entertainment,578,one-time,want,1.04,want,1
Fast Food,Entertainment,1999,daily,want,3.18,want,1
Clothes Shopping,Utilities,2925,daily,need,3.34,want,0
Mobile Recharge,Education,17146,monthly,need,1.85,need,1
Phone EMI,Entertainment,1997,one-time,want,1.75,need,0
Coffee,Travel,2719,one-time,want,0.53,want,1
Clothes Shopping,Education,9568,one-time,need,0.69,need,1
School Fees,Housing,8310,monthly,need,2.69,need,1
Rent,Lifestyle,1444,monthly,want,0.91,need,0
Fast Food,Lifestyle,381,monthly,want,3.2,want,1
Emergency Meds,Entertainment,632,monthly,want,3.39,want,1
Fast Food,Lifestyle,1076,monthly,want,2.38,need,0
Health Insurance,Food,2449,monthly,need,2.18,need,1
Groceries,Shopping,3517,one-time,want,2.2,want,1
Movie Night,Lifestyle,2147,weekly,want,1.84,want,1
Movie Night,Housing,18663,daily,need,2.52,need,1
Insurance Premium,Housing,14037,monthly,need,1.24,need,1
Gym Membership,Food,2018,one-time,need,2.91,need,1
School Fees,Utilities,617,daily,need,1.25,need,1
Concert Ticket,Lifestyle,2015,daily,want,2.1,want,1
Electricity Bill,Travel,2907,weekly,want,3.03,want,1
Hotel Stay,Shopping,3488,daily,want,1.73,want,1
Gadgets,Medical,1109,one-time,need,3.13,want,0
Salon Visit,Housing,18272,monthly,need,2.25,need,1
Health Insurance,Food,1738,weekly,need,3.28,need,1
Gym Membership,Medical,2568,weekly,need,3.34,need,1
Health Insurance,Utilities,2193,weekly,need,1.38,need,1
School Fees,Shopping,6287,weekly,want,1.12,want,1
Hotel Stay,Entertainment,1004,weekly,want,0.66,need,0
Online Course,Education,12280,monthly,need,0.91,need,1
Internet Plan,Utilities,311,one-time,need,1.55,want,0
Emergency Meds,Housing,14134,weekly,need,3.09,need,1
Doctor Visit,Education,14815,monthly,need,1.19,need,1
Internet Plan,Housing,11392,one-time,need,2.79,need,1
Rent,Entertainment,2759,monthly,want,3.48,need,0
Phone EMI,Housing,19826,daily,need,1.25,need,1
Phone EMI,Utilities,3878,one-time,need,2.03,need,1
Laptop EMI,Utilities,1494,one-time,need,1.17,want,0
Salon Visit,Housing,19866,monthly,need,1.05,need,1
Hotel Stay,Entertainment,1590,weekly,want,1.17,want,1
Emergency Meds,Shopping,7814,daily,want,2.62,want,1
Fast Food,Travel,13708,monthly,want,2.51,want,1
Party Expenses,Education,14442,weekly,need,1.32,need,1
Snacks,Lifestyle,2395,weekly,want,2.17,want,1
Water Bill,Utilities,2702,weekly,need,0.95,need,1
Streaming Subscription,Education,13986,monthly,need,1.27,need,1
Gym Membership,Housing,10917,monthly,need,3.11,want,0
Phone EMI,Utilities,1963,weekly,need,1.53,need,1
Rent,Food,443,weekly,need,2.61,want,0
School Fees,Utilities,2157,monthly,need,2.03,need,1
Rent,Housing,7503,monthly,need,0.95,need,1
Clothes Shopping,Food,1435,one-time,need,2.82,need,1
Gym Membership,Medical,1729,one-time,need,1.16,want,0
Phone EMI,Shopping,6364,one-time,want,2.1,want,1
Hotel Stay,Travel,4596,one-time,want,0.5,want,1
Travel Tickets,Utilities,3899,weekly,need,1.71,want,0
Medicines,Education,2091,one-time,need,3.45,need,1
Emergency Meds,Travel,14004,one-time,want,2.4,need,0
Laptop EMI,Medical,3179,weekly,need,2.97,need,1
Medicines,Shopping,842,daily,want,1.85,want,1
Taxi Ride,Medical,2253,weekly,need,2.47,want,0
School Fees,Utilities,3896,daily,need,1.88,need,1
Party Expenses,Entertainment,2682,daily,want,0.97,want,1
Snacks,Food,973,weekly,need,2.39,need,1
Movie Night,Housing,16455,one-time,need,2.99,need,1
Gift Purchase,Utilities,2943,daily,need,1.92,need,1
Internet Plan,Food,1790,monthly,need,1.04,need,1
Dining Out,Housing,16516,daily,need,1.05,need,1
Insurance Premium,Entertainment,2027,weekly,want,2.99,need,0
Dining Out,Housing,18114,weekly,need,2.54,need,1
Fast Food,Lifestyle,2023,monthly,want,1.81,want,1
Taxi Ride,Education,12473,monthly,need,0.51,need,1
Bus Pass,Medical,4947,daily,need,1.82,need,1
Gadgets,Travel,13275,daily,want,2.25,want,1
Water Bill,Medical,4592,one-time,need,0.58,need,1
Mobile Recharge,Shopping,6778,weekly,want,0.52,want,1
Rent,Food,864,monthly,need,3.26,want,0
Bus Pass,Utilities,1618,daily,need,3.25,need,1
New Sneakers,Entertainment,2129,monthly,want,2.7,want,1
Party Expenses,Lifestyle,1276,one-time,want,1.77,want,1
Coffee,Utilities,1446,one-time,need,2.23,need,1
Party Expenses,Education,13470,monthly,need,1.1,need,1
Fast Food,Lifestyle,415,daily,want,0.9,want,1
Snacks,Education,11819,daily,need,1.7,need,1
Electricity Bill,Food,2323,weekly,need,0.61,need,1
New Sneakers,Entertainment,600,weekly,want,0.6,want,1
Concert Ticket,Lifestyle,218,daily,want,1.16,want,1
Streaming Subscription,Food,1655,daily,need,0.81,need,1
Mobile Recharge,Housing,12733,weekly,need,3.22,want,0
Snacks,Shopping,6803,one-time,want,2.58,want,1
Online Course,Utilities,2664,daily,need,2.84,need,1
Health Insurance,Entertainment,1768,monthly,want,2.45,want,1
Travel Tickets,Entertainment,997,daily,want,1.83,want,1
Concert Ticket,Utilities,1963,daily,need,0.98,need,1
School Fees,Utilities,3374,daily,need,2.23,need,1
Fast Food,Entertainment,479,weekly,want,1.23,want,1
Gym Membership,Medical,4065,monthly,need,2.7,need,1
Laptop EMI,Shopping,1721,weekly,want,2.44,need,0
Insurance Premium,Entertainment,2785,weekly,want,2.52,want,1
Petrol,Education,4650,daily,need,1.87,need,1
Party Expenses,Utilities,3704,monthly,need,0.68,need,1
Clothes Shopping,Education,18640,weekly,need,1.16,need,1
Online Course,Shopping,815,one-time,want,1.62,want,1
Fast Food,Lifestyle,1235,weekly,want,2.46,want,1
Fast Food,Utilities,874,daily,need,2.0,need,1
Laptop EMI,Entertainment,2628,one-time,want,2.51,need,0
Salon Visit,Utilities,2066,one-time,need,2.31,want,0
School Fees,Medical,3662,one-time,need,3.28,need,1
Insurance Premium,Utilities,3896,one-time,need,2.09,want,0
Emergency Meds,Travel,6299,monthly,want,1.56,want,1
Insurance Premium,Shopping,2008,weekly,want,3.01,want,1
Bus Pass,Medical,4661,one-time,need,2.49,need,1
Fast Food,Education,6932,monthly,need,3.48,want,0
Taxi Ride,Housing,9311,weekly,need,2.13,need,1
Insurance Premium,Shopping,7343,one-time,want,1.84,need,0
Emergency Meds,Housing,5794,weekly,need,1.02,need,1
Movie Night,Travel,12742,monthly,want,2.44,want,1
Salon Visit,Utilities,1573,weekly,need,1.39,need,1
Concert Ticket,Medical,3444,weekly,need,2.66,need,1
Clothes Shopping,Entertainment,288,weekly,want,2.17,want,1
Party Expenses,Utilities,2102,monthly,need,2.8,need,1
Rent,Entertainment,1491,monthly,want,1.03,want,1
Concert Ticket,Lifestyle,2179,weekly,want,0.85,want,1
Emergency Meds,Shopping,4558,monthly,want,2.86,want,1
Fast Food,Food,2487,one-time,need,2.68,want,0
Gift Purchase,Housing,18853,daily,need,0.61,want,0
Gym Membership,Lifestyle,2317,one-time,want,1.34,want,1
Concert Ticket,Shopping,949,daily,want,3.01,want,1
Clothes Shopping,Housing,18797,one-time,need,1.41,need,1
Water Bill,Education,9570,daily,need,3.22,want,0
Phone EMI,Housing,11052,daily,need,3.17,want,0
Bus Pass,Food,166,monthly,need,2.26,need,1
Snacks,Shopping,1868,monthly,want,0.8,want,1
Taxi Ride,Utilities,3406,daily,need,1.57,need,1
New Sneakers,Lifestyle,954,daily,want,3.38,want,1
Water Bill,Entertainment,1178,weekly,want,3.31,want,1
Online Course,Travel,8998,monthly,want,3.47,need,0
Salon Visit,Education,16290,monthly,need,2.53,need,1
Hotel Stay,Education,1320,daily,need,3.09,need,1
Hotel Stay,Education,10848,one-time,need,3.15,need,1
Water Bill,Shopping,5568,daily,want,0.78,want,1
Medicines,Food,777,weekly,need,2.36,need,1
Bus Pass,Lifestyle,2754,monthly,want,2.58,need,0
Online Course,Travel,5538,monthly,want,2.99,want,1
Clothes Shopping,Travel,8491,weekly,want,3.23,want,1
Doctor Visit,Medical,2828,one-time,need,2.75,want,0
Snacks,Entertainment,2464,one-time,want,0.87,want,1
Mobile Recharge,Travel,2440,monthly,want,1.43,need,0
Groceries,Shopping,4318,weekly,want,0.84,need,0
Petrol,Utilities,1127,weekly,need,0.59,want,0
Concert Ticket,Food,1038,one-time,need,2.06,need,1
New Sneakers,Medical,2696,one-time,need,0.77,need,1
Emergency Meds,Housing,7568,one-time,need,2.98,need,1
Laptop EMI,Medical,3584,daily,need,1.48,need,1
Water Bill,Shopping,1108,monthly,want,2.38,want,1
Concert Ticket,Food,463,one-time,need,2.82,need,1
Online Course,Utilities,3563,weekly,need,2.09,need,1
Medicines,Utilities,3579,daily,need,2.74,need,1
Dining Out,Medical,2085,one-time,need,1.12,need,1
Health Insurance,Travel,6103,daily,want,2.93,want,1
New Sneakers,Entertainment,1556,weekly,want,1.22,want,1
Party Expenses,Education,6990,one-time,need,3.14,need,1
Party Expenses,Entertainment,2346,monthly,want,2.27,want,1
Concert Ticket,Food,2333,one-time,need,0.79,need,1
Salon Visit,Medical,2384,daily,need,0.94,want,0
Dining Out,Shopping,1304,monthly,want,3.16,want,1
Party Expenses,Travel,11655,monthly,want,2.44,want,1
Snacks,Lifestyle,712,weekly,want,0.51,want,1
Mobile Recharge,Travel,7488,daily,want,3.2,want,1
Emergency Meds,Food,2121,weekly,need,1.06,want,0
Electricity Bill,Medical,2419,daily,need,2.2,need,1
Gym Membership,Travel,3174,monthly,want,2.83,want,1
Party Expenses,Utilities,2026,daily,need,2.64,need,1
Hotel Stay,Food,2472,daily,need,1.11,need,1
Electricity Bill,Shopping,918,one-time,want,2.73,want,1
New Sneakers,Lifestyle,1146,one-time,want,1.92,want,1
Party Expenses,Education,3451,daily,need,2.92,need,1
Hotel Stay,Lifestyle,1565,one-time,want,1.92,want,1
Gift Purchase,Shopping,3791,weekly,want,2.09,want,1
Water Bill,Lifestyle,225,daily,want,0.56,want,1
Party Expenses,Entertainment,451,monthly,want,3.35,want,1
Electricity Bill,Utilities,3739,daily,need,1.85,need,1
Coffee,Entertainment,1561,weekly,want,2.55,want,1
Water Bill,Entertainment,692,weekly,want,2.78,need,0
Doctor Visit,Utilities,2751,one-time,need,1.46,need,1
New Sneakers,Education,720,daily,need,3.13,need,1
Doctor Visit,Entertainment,2607,daily,want,0.72,want,1
Water Bill,Lifestyle,2619,one-time,want,2.43,need,0
New Sneakers,Education,10687,one-time,need,2.62,need,1
Snacks,Utilities,2761,one-time,need,1.77,need,1
Movie Night,Medical,326,daily,need,2.35,need,1
Gadgets,Housing,8741,one-time,need,1.37,need,1
Rent,Food,605,one-time,need,1.08,want,0
Travel Tickets,Lifestyle,1640,one-time,want,3.47,want,1
Movie Night,Utilities,2148,one-time,need,1.66,want,0
Electricity Bill,Travel,6361,weekly,want,1.7,want,1
Streaming Subscription,Entertainment,1689,weekly,want,1.42,want,1
Rent,Food,2361,daily,need,3.43,need,1
Bus Pass,Shopping,5071,weekly,want,0.85,want,1
Mobile Recharge,Housing,10660,monthly,need,0.75,need,1
Rent,Shopping,7561,weekly,want,1.61,want,1
Gym Membership,Shopping,6342,daily,want,0.68,need,0
Electricity Bill,Medical,3688,weekly,need,1.12,want,0
Electricity Bill,Housing,11343,monthly,need,1.86,need,1
Doctor Visit,Food,2043,monthly,need,2.66,need,1
Hotel Stay,Food,832,weekly,need,2.37,need,1
Insurance Premium,Travel,12041,one-time,want,1.31,want,1
Laptop EMI,Medical,4703,monthly,need,3.46,need,1
New Sneakers,Entertainment,1857,one-time,want,3.04,want,1
Health Insurance,Shopping,2064,monthly,want,1.69,need,0
Emergency Meds,Housing,16805,weekly,need,2.11,want,0
Doctor Visit,Education,6876,daily,need,2.72,need,1
Clothes Shopping,Education,14242,daily,need,0.73,need,1
Water Bill,Travel,13524,one-time,want,0.99,want,1
Insurance Premium,Housing,5710,daily,need,3.21,need,1
School Fees,Shopping,850,one-time,want,2.58,need,0
Salon Visit,Education,4014,weekly,need,1.39,need,1
Salon Visit,Medical,3124,daily,need,2.29,need,1
Clothes Shopping,Medical,2884,one-time,need,3.25,need,1
Party Expenses,Shopping,7440,daily,want,1.97,want,1
Hotel Stay,Lifestyle,177,monthly,want,1.33,want,1
Gym Membership,Utilities,1464,weekly,need,2.91,need,1
Doctor Visit,Housing,5081,one-time,need,2.13,need,1
Movie Night,Entertainment,1918,weekly,want,2.75,want,1
Travel Tickets,Entertainment,276,one-time,want,0.66,want,1
Salon Visit,Medical,1749,daily,need,3.11,need,1
Gift Purchase,Food,548,weekly,need,2.98,need,1
Rent,Travel,9472,monthly,want,1.39,want,1
Health Insurance,Shopping,1105,one-time,want,3.06,want,1
Dining Out,Entertainment,498,weekly,want,1.73,want,1
Fast Food,Food,279,monthly,need,1.03,need,1
Bus Pass,Education,10512,monthly,need,0.55,need,1
Taxi Ride,Entertainment,2528,daily,want,3.08,want,1
Mobile Recharge,Entertainment,1705,daily,want,1.42,want,1
Online Course,Food,1473,monthly,need,1.67,want,0
Gym Membership,Food,2103,one-time,need,2.53,need,1
Fast Food,Medical,1220,daily,need,2.53,need,1
New Sneakers,Lifestyle,192,monthly,want,2.78,want,1
Taxi Ride,Travel,7074,weekly,want,1.14,want,1
Party Expenses,Medical,1640,monthly,need,0.79,need,1
Taxi Ride,Food,1050,weekly,need,3.23,need,1
Internet Plan,Education,16814,monthly,need,1.96,need,1
Taxi Ride,Food,1903,weekly,need,2.76,need,1
Water Bill,Lifestyle,663,monthly,want,1.92,need,0
Doctor Visit,Entertainment,2894,monthly,want,0.88,want,1
Groceries,Housing,18851,daily,need,2.99,need,1
Mobile Recharge,Entertainment,1821,monthly,want,0.64,want,1
Health Insurance,Food,2240,daily,need,0.71,need,1
Snacks,Entertainment,2397,one-time,want,0.81,want,1
Mobile Recharge,Utilities,2153,one-time,need,3.23,need,1
Internet Plan,Medical,2813,weekly,need,3.42,need,1
Groceries,Utilities,2682,monthly,need,2.95,need,1
Electricity Bill,Food,1149,weekly,need,2.52,need,1
Electricity Bill,Travel,7626,one-time,want,3.34,want,1
Snacks,Entertainment,2431,monthly,want,2.4,want,1
School Fees,Housing,17997,one-time,need,3.13,need,1
Snacks,Travel,7791,one-time,want,2.93,want,1
Clothes Shopping,Utilities,2403,daily,need,3.17,need,1
Internet Plan,Lifestyle,2031,weekly,want,1.37,want,1
School Fees,Education,2417,monthly,need,2.85,need,1
Hotel Stay,Food,843,weekly,need,1.36,want,0
Health Insurance,Lifestyle,1152,one-time,want,1.63,want,1
Laptop EMI,Entertainment,2227,monthly,want,2.18,want,1
Bus Pass,Entertainment,2759,one-time,want,0.6,want,1
Coffee,Travel,13424,one-time,want,0.64,want,1
Movie Night,Lifestyle,199,daily,want,3.44,want,1
School Fees,Food,1211,weekly,need,3.22,need,1
Snacks,Education,1684,monthly,need,2.74,need,1
Health Insurance,Lifestyle,654,daily,want,0.84,want,1
Movie Night,Medical,3578,weekly,need,2.83,need,1
Rent,Medical,3191,daily,need,1.56,need,1
Groceries,Entertainment,1897,one-time,want,3.42,want,1
Electricity Bill,Lifestyle,334,weekly,want,0.93,want,1
Coffee,Lifestyle,2887,weekly,want,0.67,want,1
Hotel Stay,Food,1662,daily,need,3.4,want,0
Movie Night,Entertainment,2475,weekly,want,0.79,want,1
Travel Tickets,Travel,8461,one-time,want,2.91,want,1
Bus Pass,Shopping,879,daily,want,1.67,want,1
Clothes Shopping,Medical,2912,daily,need,1.24,want,0
Streaming Subscription,Medical,4947,one-time,need,3.08,need,1
Petrol,Education,12671,daily,need,0.93,want,0
Travel Tickets,Food,2295,daily,need,1.16,want,0
Rent,Housing,7010,one-time,need,0.77,need,1
Petrol,Medical,4646,one-time,need,3.28,need,1
Bus Pass,Lifestyle,1505,weekly,want,1.76,want,1
Rent,Travel,1411,weekly,want,0.63,want,1
Laptop EMI,Entertainment,747,daily,want,0.8,want,1
Insurance Premium,Travel,11092,one-time,want,0.79,want,1
Internet Plan,Housing,8412,daily,need,0.94,need,1
Hotel Stay,Food,2102,one-time,need,3.15,need,1
Streaming Subscription,Food,1246,daily,need,2.95,need,1
Coffee,Housing,6662,daily,need,3.29,need,1
Dining Out,Education,6486,daily,need,1.98,need,1
Emergency Meds,Shopping,2807,weekly,want,1.17,need,0
Groceries,Food,1336,one-time,need,0.92,need,1
Hotel Stay,Lifestyle,1266,weekly,want,0.51,need,0
Dining Out,Lifestyle,1525,weekly,want,1.32,want,1
Snacks,Travel,3811,one-time,want,2.8,want,1
Rent,Entertainment,1203,weekly,want,3.32,want,1
Taxi Ride,Medical,1739,one-time,need,1.96,need,1
New Sneakers,Education,19266,weekly,need,2.42,need,1
Groceries,Medical,2842,one-time,need,2.05,need,1
Insurance Premium,Travel,6362,daily,want,3.17,want,1
Clothes Shopping,Education,3838,daily,need,2.5,need,1
Laptop EMI,Food,2318,monthly,need,1.91,want,0
New Sneakers,Travel,880,one-time,want,0.5,want,1
School Fees,Travel,8000,weekly,want,1.02,need,0
Hotel Stay,Utilities,2873,monthly,need,0.51,need,1
Hotel Stay,Shopping,6438,weekly,want,2.62,want,1
Petrol,Food,652,weekly,need,3.09,need,1
Gadgets,Utilities,532,monthly,need,1.46,want,0
Streaming Subscription,Utilities,1960,one-time,need,1.58,need,1
Laptop EMI,Lifestyle,2057,one-time,want,2.83,need,0
Travel Tickets,Travel,1684,daily,want,2.99,need,0
Salon Visit,Entertainment,326,monthly,want,0.77,want,1
Doctor Visit,Housing,18883,one-time,need,1.44,need,1
Concert Ticket,Entertainment,2979,monthly,want,1.52,want,1
Travel Tickets,Lifestyle,881,weekly,want,1.14,want,1
Petrol,Travel,1980,monthly,want,1.36,want,1
Coffee,Shopping,3673,one-time,want,1.08,want,1
Water Bill,Lifestyle,1338,daily,want,3.32,want,1
Online Course,Entertainment,2864,one-time,want,1.54,want,1
Streaming Subscription,Education,16633,monthly,need,2.81,need,1
Online Course,Entertainment,2580,monthly,want,2.26,want,1
School Fees,Utilities,2621,weekly,need,2.98,need,1
Bus Pass,Travel,8143,daily,want,2.69,want,1
Health Insurance,Entertainment,568,monthly,want,2.61,want,1
Dining Out,Housing,14937,monthly,need,2.8,need,1
Coffee,Housing,11615,weekly,need,1.74,need,1
Concert Ticket,Travel,1889,one-time,want,2.56,need,0
Snacks,Lifestyle,1999,weekly,want,2.08,want,1
Laptop EMI,Medical,2283,weekly,need,1.96,need,1
Insurance Premium,Lifestyle,2890,one-time,want,0.56,want,1
Bus Pass,Shopping,5606,daily,want,1.17,want,1
New Sneakers,Utilities,2477,daily,need,0.61,need,1
Mobile Recharge,Food,884,weekly,need,2.7,want,0
New Sneakers,Food,536,daily,need,1.47,need,1
Phone EMI,Food,1763,monthly,need,0.81,need,1
Electricity Bill,Housing,19632,daily,need,1.5,need,1
Groceries,Housing,10513,monthly,need,0.55,need,1
Medicines,Travel,2308,daily,want,2.01,need,0
Hotel Stay,Medical,2054,daily,need,1.19,want,0
Gift Purchase,Education,7596,weekly,need,3.24,need,1
Doctor Visit,Lifestyle,2953,monthly,want,0.76,want,1
Concert Ticket,Shopping,4708,weekly,want,2.4,want,1
Concert Ticket,Education,3489,one-time,need,2.63,need,1
Movie Night,Shopping,5255,monthly,want,3.17,want,1
Streaming Subscription,Housing,13206,daily,need,2.15,need,1
Travel Tickets,Entertainment,654,monthly,want,1.53,want,1
Bus Pass,Food,2075,daily,need,3.37,need,1
Dining Out,Shopping,7112,weekly,want,1.18,want,1
Travel Tickets,Shopping,1072,weekly,want,3.11,want,1
Snacks,Food,222,monthly,need,3.01,need,1
School Fees,Housing,12426,daily,need,3.21,need,1
Electricity Bill,Shopping,6886,daily,want,1.8,want,1
Internet Plan,Shopping,7707,weekly,want,2.84,want,1
School Fees,Housing,19399,one-time,need,2.18,need,1
Party Expenses,Shopping,1257,monthly,want,3.05,want,1
Insurance Premium,Lifestyle,1482,monthly,want,1.32,want,1
Concert Ticket,Lifestyle,1137,monthly,want,0.64,want,1
Rent,Utilities,2190,weekly,need,3.49,need,1
Internet Plan,Housing,9032,daily,need,1.11,need,1
Party Expenses,Housing,9687,daily,need,0.62,need,1
Rent,Housing,5306,daily,need,2.01,want,0
Travel Tickets,Utilities,3258,daily,need,2.53,need,1
Salon Visit,Housing,13602,weekly,need,3.17,need,1
Concert Ticket,Education,15441,monthly,need,3.24,need,1
Mobile Recharge,Education,15661,daily,need,3.31,need,1
Water Bill,Medical,640,one-time,need,2.28,need,1
Gym Membership,Lifestyle,1252,monthly,want,3.28,want,1
Laptop EMI,Housing,7256,monthly,need,1.23,need,1
Laptop EMI,Education,4844,monthly,need,1.73,need,1
Phone EMI,Food,788,daily,need,2.84,need,1
Laptop EMI,Entertainment,1350,daily,want,2.04,need,0
Taxi Ride,Travel,5233,weekly,want,0.52,want,1
Clothes Shopping,Travel,3489,one-time,want,3.22,want,1
Gym Membership,Lifestyle,636,one-time,want,2.15,want,1
Streaming Subscription,Lifestyle,2629,weekly,want,2.04,need,0
Streaming Subscription,Lifestyle,463,monthly,want,2.1,want,1
Coffee,Medical,3647,monthly,need,0.67,need,1
Streaming Subscription,Medical,2221,monthly,need,0.56,need,1
Party Expenses,Entertainment,942,weekly,want,2.14,need,0
Party Expenses,Housing,14694,monthly,need,1.6,need,1
Travel Tickets,Housing,16289,monthly,need,1.31,need,1
Mobile Recharge,Medical,4338,weekly,need,2.39,need,1
Insurance Premium,Food,416,monthly,need,0.59,need,1
Gym Membership,Travel,4819,monthly,want,1.97,need,0
Emergency Meds,Travel,5976,weekly,want,1.52,need,0
Petrol,Entertainment,2108,monthly,want,1.43,need,0
Fast Food,Medical,2716,monthly,need,0.57,need,1
Mobile Recharge,Housing,18412,weekly,need,2.5,need,1
Internet Plan,Utilities,1320,daily,need,1.65,need,1
Party Expenses,Utilities,2533,monthly,need,2.49,need,1
Electricity Bill,Medical,467,monthly,need,2.98,need,1
Taxi Ride,Medical,4336,weekly,need,0.55,need,1
Streaming Subscription,Medical,2966,monthly,need,2.43,need,1
Laptop EMI,Utilities,3694,weekly,need,0.67,need,1
Doctor Visit,Entertainment,2910,monthly,want,1.12,need,0
Rent,Shopping,3907,daily,want,2.48,want,1
Petrol,Education,3395,monthly,need,1.14,need,1
Streaming Subscription,Shopping,2662,weekly,want,3.38,need,0
Fast Food,Entertainment,2569,weekly,want,1.19,want,1
Fast Food,Shopping,2269,monthly,want,2.33,want,1
Electricity Bill,Lifestyle,2520,monthly,want,2.19,need,0
Clothes Shopping,Education,8632,weekly,need,1.11,need,1
Laptop EMI,Education,3723,monthly,need,0.7,need,1
Online Course,Travel,6382,monthly,want,2.93,want,1
Gym Membership,Utilities,382,weekly,need,1.08,want,0
Bus Pass,Food,630,weekly,need,0.52,need,1
Petrol,Shopping,3517,weekly,want,2.05,need,0
Laptop EMI,Food,1536,weekly,need,1.03,want,0
Gym Membership,Shopping,5789,monthly,want,1.52,want,1
New Sneakers,Shopping,1328,daily,want,0.57,want,1
Electricity Bill,Entertainment,1068,one-time,want,2.62,want,1
Clothes Shopping,Food,1913,monthly,need,1.28,need,1
Water Bill,Education,12336,daily,need,1.49,need,1
Rent,Lifestyle,1057,monthly,want,3.22,want,1
Emergency Meds,Travel,7366,daily,want,0.87,want,1
Clothes Shopping,Shopping,5904,daily,want,1.76,want,1
Medicines,Lifestyle,2568,daily,want,1.26,want,1
Online Course,Housing,19979,daily,need,1.54,need,1
Fast Food,Food,798,daily,need,0.84,need,1
Salon Visit,Shopping,7766,daily,want,0.5,want,1
Salon Visit,Entertainment,2178,monthly,want,1.02,want,1
New Sneakers,Lifestyle,2058,one-time,want,2.17,want,1
