id,asset,risk_score,emotion_bias,investment_amount,market_event
1256,Commodities,30,Loss Aversion,332545,Volatile
1257,Bonds,64,Calm,448479,Crash
1258,Crypto,72,Calm,464275,Correction
1259,Commodities,18,Loss Aversion,105236,Crash
1260,Commodities,49,Loss Aversion,284497,Volatile
1261,Real Estate,56,Herd,476490,Bull Run
1262,Crypto,28,Herd,195595,Volatile
1263,Stocks,14,Panic,341154,Sideways
1264,Real Estate,66,Loss Aversion,369514,Volatile
1265,Gold,23,Loss Aversion,141965,Correction
1266,Stocks,75,Confirmation,56401,Crash
1267,Commodities,12,Loss Aversion,296235,Correction
1268,Gold,43,FOMO,138844,Correction
1269,Commodities,61,FOMO,389502,Correction
1270,Bonds,11,Confirmation,319795,Volatile
1271,Real Estate,31,Confirmation,291584,Bull Run
1272,Gold,35,Confirmation,255005,Crash
1273,Gold,74,Herd,314108,Sideways
1274,Crypto,68,Panic,303829,Bull Run
1275,Commodities,45,Loss Aversion,358855,Volatile
1276,Gold,18,Confirmation,288486,Correction
1277,Gold,68,Confirmation,206137,Sideways
1278,Stocks,18,Loss Aversion,419294,Volatile
1279,Real Estate,68,Herd,172271,Sideways
1280,Bonds,61,Panic,430565,Sideways
1281,Stocks,92,Herd,73599,Correction
1282,Real Estate,70,Loss Aversion,142634,Volatile
1283,Crypto,38,FOMO,78801,Bull Run
1284,Real Estate,15,FOMO,78382,Crash
1285,Commodities,59,FOMO,194036,Crash
1286,Stocks,9,Loss Aversion,43581,Correction
1287,Stocks,21,Herd,349174,Correction
1288,Gold,44,Calm,181224,Volatile
1289,Crypto,61,Calm,150907,Volatile
1290,Stocks,14,Calm,499596,Volatile
1291,Crypto,54,Herd,233116,Correction
1292,Bonds,30,Confirmation,137930,Sideways
1293,Gold,80,Calm,394568,Volatile
1294,Gold,45,Confirmation,275315,Sideways
1295,Real Estate,4,Panic,252702,Crash
1296,Real Estate,79,Herd,130606,Volatile
1297,Gold,30,Panic,75559,Volatile
1298,Stocks,100,FOMO,26162,Sideways
1299,Bonds,73,Panic,322011,Bull Run
1300,Crypto,73,Herd,478275,Bull Run
1301,Stocks,26,Calm,312536,Volatile
1302,Bonds,55,FOMO,115528,Volatile
1303,Commodities,54,Herd,257540,Crash
1304,Stocks,36,Herd,168087,Volatile
1305,Gold,8,Calm,27311,Correction
1306,Gold,87,Confirmation,335828,Bull Run
1307,Gold,44,FOMO,485839,Sideways
1308,Real Estate,76,Confirmation,331493,Crash
1309,Bonds,24,Herd,309797,Crash
1310,Bonds,28,FOMO,227265,Volatile
1311,Bonds,61,Calm,52501,Bull Run
1312,Bonds,67,FOMO,214978,Sideways
1313,Bonds,7,FOMO,404762,Crash
1314,Commodities,58,Herd,325873,Sideways
1315,Real Estate,75,Loss Aversion,292062,Bull Run
1316,Stocks,34,Panic,265556,Sideways
1317,Crypto,13,Herd,43001,Correction
1318,Crypto,65,Loss Aversion,51990,Sideways
1319,Real Estate,45,Panic,304941,Correction
1320,Crypto,85,Calm,421566,Bull Run
1321,Gold,91,Panic,154794,Volatile
1322,Real Estate,53,Confirmation,497521,Volatile
1323,Gold,89,Herd,265202,Bull Run
1324,Gold,45,Panic,335907,Correction
1325,Bonds,57,Herd,183647,Crash
1326,Stocks,32,Loss Aversion,376211,Bull Run
1327,Real Estate,51,Loss Aversion,79483,Sideways
1328,Crypto,55,Confirmation,495423,Crash
1329,Bonds,3,Herd,102295,Crash
1330,Crypto,53,Loss Aversion,177827,Crash
1331,Bonds,14,Herd,151596,Correction
1332,Gold,65,Calm,311935,Correction
1333,Crypto,49,FOMO,142148,Correction
1334,Gold,50,FOMO,44317,Correction
1335,Real Estate,97,Confirmation,168974,Volatile
1336,Stocks,67,Calm,75476,Bull Run
1337,Gold,72,Confirmation,48530,Correction
1338,Crypto,54,Loss Aversion,418042,Sideways
1339,Real Estate,82,Loss Aversion,135821,Sideways
1340,Real Estate,61,Herd,241792,Bull Run
1341,Gold,97,Loss Aversion,91583,Crash
1342,Real Estate,93,Confirmation,178562,Correction
1343,Real Estate,76,Calm,323022,Sideways
1344,Gold,12,Loss Aversion,44513,Volatile
1345,Commodities,22,Panic,414185,Bull Run
1346,Stocks,32,Herd,212391,Sideways
1347,Gold,28,Loss Aversion,91918,Crash
1348,Bonds,19,Confirmation,489717,Volatile
1349,Stocks,65,FOMO,322309,Correction
1350,Gold,46,Loss Aversion,405542,Correction
1351,Gold,2,Panic,307645,Volatile
1352,Gold,39,Confirmation,407386,Correction
1353,Stocks,16,Panic,439197,Crash
1354,Gold,28,Loss Aversion,445434,Bull Run
1355,Gold,80,FOMO,470076,Sideways
1356,Bonds,77,FOMO,61188,Crash
1357,Commodities,72,Herd,418590,Sideways
1358,Stocks,57,Herd,75139,Volatile
1359,Crypto,15,Loss Aversion,90695,Crash
1360,Real Estate,28,FOMO,319162,Bull Run
1361,Stocks,48,Confirmation,267327,Crash
1362,Gold,23,FOMO,141045,Correction
1363,Commodities,73,Loss Aversion,235322,Sideways
1364,Bonds,44,Loss Aversion,207607,Bull Run
1365,Commodities,25,Confirmation,193959,Sideways
1366,Crypto,69,Confirmation,238633,Correction
1367,Crypto,1,FOMO,452653,Bull Run
1368,Bonds,19,Panic,39876,Correction
1369,Crypto,95,Herd,423427,Correction
1370,Commodities,65,Panic,165561,Sideways
1371,Commodities,91,Loss Aversion,295240,Sideways
1372,Crypto,74,FOMO,90546,Bull Run
1373,Bonds,1,Loss Aversion,297289,Correction
1374,Stocks,1,FOMO,108420,Bull Run
1375,Real Estate,45,Loss Aversion,444438,Crash
1376,Gold,30,Panic,196999,Sideways
1377,Gold,91,Panic,424654,Volatile
1378,Bonds,85,Confirmation,360429,Sideways
1379,Bonds,61,Confirmation,144093,Bull Run
1380,Crypto,24,Loss Aversion,227254,Bull Run
1381,Crypto,87,FOMO,30359,Bull Run
1382,Gold,2,Panic,493658,Crash
1383,Stocks,65,Confirmation,493478,Sideways
1384,Bonds,35,Panic,409816,Sideways
1385,Stocks,1,Panic,59070,Bull Run
1386,Commodities,76,FOMO,62883,Volatile
1387,Stocks,80,Panic,336492,Bull Run
1388,Bonds,44,Confirmation,133244,Sideways
1389,Crypto,63,Herd,63347,Crash
1390,Real Estate,86,Calm,146085,Correction
1391,Real Estate,10,Panic,469488,Volatile
1392,Crypto,31,Calm,84432,Bull Run
1393,Crypto,49,Panic,218205,Correction
1394,Real Estate,47,Herd,311002,Crash
1395,Real Estate,60,Calm,348548,Correction
1396,Real Estate,83,Confirmation,142199,Sideways
1397,Bonds,37,Herd,357573,Bull Run
1398,Gold,15,Calm,266876,Crash
1399,Bonds,19,Herd,215851,Correction
1400,Commodities,84,Calm,101676,Crash
1401,Stocks,78,Calm,267676,Volatile
1402,Crypto,74,Loss Aversion,428269,Bull Run
1403,Commodities,15,Loss Aversion,11761,Bull Run
1404,Gold,28,FOMO,116836,Bull Run
1405,Gold,28,FOMO,422696,Volatile
1406,Stocks,39,Loss Aversion,429666,Sideways
1407,Crypto,90,Panic,393942,Sideways
1408,Stocks,99,FOMO,259558,Volatile
1409,Real Estate,15,Herd,45352,Correction
1410,Real Estate,63,Panic,397065,Volatile
1411,Stocks,74,Loss Aversion,111940,Bull Run
1412,Crypto,38,Panic,405187,Bull Run
1413,Gold,100,Panic,230861,Sideways
1414,Bonds,60,FOMO,105014,Bull Run
1415,Commodities,88,Calm,82604,Bull Run
1416,Gold,83,Calm,14266,Crash
1417,Crypto,17,Loss Aversion,246928,Sideways
1418,Real Estate,22,Confirmation,499786,Bull Run
1419,Gold,31,Loss Aversion,218460,Volatile
1420,Gold,73,Panic,88079,Crash
1421,Crypto,49,Loss Aversion,226147,Correction
1422,Real Estate,45,FOMO,55216,Sideways
1423,Commodities,96,Calm,307232,Bull Run
1424,Real Estate,85,Loss Aversion,426802,Volatile
1425,Gold,58,Calm,442531,Bull Run
1426,Stocks,89,FOMO,366422,Crash
1427,Crypto,87,Calm,10743,Correction
1428,Stocks,98,Herd,234093,Volatile
1429,Bonds,23,FOMO,72260,Correction
1430,Gold,34,Confirmation,196430,Correction
1431,Gold,97,FOMO,458500,Sideways
1432,Crypto,62,Calm,258148,Sideways
1433,Gold,73,FOMO,30285,Volatile
1434,Bonds,78,Herd,260902,Correction
1435,Commodities,28,Confirmation,140529,Sideways
1436,Real Estate,42,Loss Aversion,107170,Volatile
1437,Commodities,35,Panic,326210,Bull Run
1438,Stocks,15,Calm,435963,Crash
1439,Gold,79,Loss Aversion,118869,Bull Run
1440,Stocks,83,Confirmation,335533,Correction
1441,Real Estate,6,Herd,375835,Crash
1442,Bonds,15,Calm,143240,Bull Run
1443,Bonds,92,Confirmation,97378,Crash
1444,Stocks,89,Herd,482871,Sideways
1445,Real Estate,32,Confirmation,210747,Bull Run
1446,Real Estate,15,Loss Aversion,416109,Volatile
1447,Commodities,83,FOMO,251492,Correction
1448,Stocks,21,Calm,221517,Volatile
1449,Commodities,14,Herd,161326,Volatile
1450,Real Estate,93,Panic,371400,Correction
1451,Real Estate,77,Panic,73315,Sideways
1452,Bonds,45,FOMO,340522,Correction
1453,Commodities,88,Confirmation,298998,Bull Run
1454,Crypto,6,Herd,39096,Correction
1455,Gold,35,FOMO,431518,Bull Run
1456,Real Estate,11,FOMO,70034,Correction
1457,Stocks,75,Confirmation,485677,Crash
1458,Bonds,25,Calm,5426,Volatile
1459,Gold,85,Panic,283149,Bull Run
1460,Real Estate,100,FOMO,132650,Crash
1461,Stocks,87,Calm,119473,Crash
1462,Real Estate,86,Panic,416781,Correction
1463,Stocks,60,Herd,165430,Bull Run
1464,Stocks,92,Confirmation,464889,Volatile
1465,Real Estate,89,Panic,435718,Bull Run
1466,Crypto,7,Panic,318052,Crash
1467,Crypto,32,Herd,416789,Bull Run
1468,Stocks,61,Confirmation,27401,Correction
1469,Real Estate,70,Calm,193226,Sideways
1470,Gold,66,FOMO,61580,Correction
1471,Real Estate,40,FOMO,141795,Volatile
1472,Stocks,43,FOMO,266692,Correction
1473,Crypto,35,FOMO,444552,Bull Run
1474,Real Estate,74,Calm,294822,Sideways
1475,Bonds,3,Panic,49272,Sideways
1476,Crypto,55,Confirmation,150578,Bull Run
1477,Crypto,38,Herd,422271,Correction
1478,Stocks,60,FOMO,351847,Crash
1479,Crypto,84,Panic,205062,Sideways
1480,Crypto,57,Loss Aversion,379750,Sideways
1481,Stocks,76,Calm,184296,Volatile
1482,Stocks,58,FOMO,120904,Correction
1483,Bonds,60,Panic,137332,Crash
1484,Gold,28,FOMO,346790,Bull Run
1485,Bonds,31,Calm,160754,Sideways
1486,Gold,96,Loss Aversion,169896,Correction
1487,Bonds,36,FOMO,407789,Volatile
1488,Bonds,68,Confirmation,375374,Volatile
1489,Gold,85,Herd,41139,Sideways
1490,Commodities,100,FOMO,491556,Bull Run
1491,Stocks,77,Herd,376472,Sideways
1492,Stocks,85,FOMO,44867,Bull Run
1493,Stocks,81,Confirmation,48673,Crash
1494,Bonds,22,Confirmation,250167,Bull Run
1495,Crypto,97,FOMO,319909,Volatile
1496,Stocks,16,Confirmation,191116,Correction
1497,Gold,3,FOMO,228556,Crash
1498,Stocks,47,Calm,246987,Volatile
1499,Bonds,32,Loss Aversion,81286,Correction
1500,Commodities,47,Confirmation,491082,Sideways
1501,Crypto,58,Calm,362489,Sideways
1502,Real Estate,32,Loss Aversion,425707,Correction
1503,Bonds,74,Herd,461927,Bull Run
1504,Stocks,39,Herd,118565,Sideways
1505,Bonds,49,Loss Aversion,59365,Volatile
1506,Commodities,46,Calm,153150,Volatile
1507,Stocks,51,Herd,192267,Volatile
1508,Stocks,40,Herd,132233,Correction
1509,Gold,94,FOMO,133924,Bull Run
1510,Bonds,16,Loss Aversion,235966,Crash
1511,Crypto,81,Calm,452022,Crash
1512,Real Estate,3,Confirmation,371249,Sideways
1513,Bonds,56,Panic,105127,Sideways
1514,Bonds,26,Confirmation,417340,Crash
1515,Gold,44,Herd,491807,Crash
1516,Crypto,91,Herd,388182,Crash
1517,Real Estate,87,FOMO,474000,Volatile
1518,Stocks,80,Herd,268678,Correction
1519,Bonds,54,Herd,390989,Crash
1520,Crypto,92,Calm,43243,Volatile
1521,Stocks,27,Calm,193876,Correction
1522,Real Estate,99,Panic,221540,Crash
1523,Commodities,39,Confirmation,405114,Bull Run
1524,Bonds,36,Confirmation,99740,Correction
1525,Stocks,47,Calm,489207,Volatile
1526,Real Estate,94,Loss Aversion,246341,Volatile
1527,Commodities,34,Loss Aversion,309205,Correction
1528,Stocks,15,Panic,347754,Crash
1529,Commodities,67,Confirmation,382827,Crash
1530,Crypto,52,FOMO,464169,Crash
1531,Bonds,40,Confirmation,409993,Sideways
1532,Real Estate,40,Herd,283372,Bull Run
1533,Commodities,11,Loss Aversion,280147,Volatile
1534,Commodities,23,Herd,421404,Correction
1535,Gold,45,Calm,233473,Correction
1536,Real Estate,40,Loss Aversion,322454,Correction
1537,Commodities,29,Panic,377370,Correction
1538,Crypto,8,Loss Aversion,271142,Crash
1539,Real Estate,67,Loss Aversion,152567,Correction
1540,Stocks,55,Loss Aversion,91988,Crash
1541,Stocks,58,Panic,461928,Volatile
1542,Commodities,12,Calm,156432,Crash
1543,Bonds,25,Loss Aversion,33555,Volatile
1544,Gold,68,Herd,318153,Volatile
1545,Crypto,32,Loss Aversion,139037,Bull Run
1546,Stocks,86,Herd,399226,Bull Run
1547,Gold,53,FOMO,82238,Crash
1548,Commodities,92,Panic,343448,Volatile
1549,Gold,68,Calm,256307,Crash
1550,Stocks,52,FOMO,433357,Crash
1551,Crypto,12,Herd,118378,Volatile
1552,Stocks,22,Herd,13990,Crash
1553,Crypto,49,Herd,405270,Bull Run
1554,Real Estate,40,Confirmation,381751,Volatile
1555,Crypto,24,Confirmation,72832,Sideways
1556,Crypto,11,FOMO,324996,Correction
1557,Bonds,93,Herd,291550,Bull Run
1558,Real Estate,28,Herd,185397,Volatile
1559,Commodities,74,FOMO,289976,Sideways
1560,Bonds,29,FOMO,309476,Correction
1561,Real Estate,84,Confirmation,60455,Crash
1562,Commodities,96,Calm,243132,Volatile
1563,Real Estate,44,Herd,372037,Crash
1564,Crypto,88,Calm,460120,Volatile
1565,Stocks,55,Calm,272934,Correction
1566,Bonds,10,Loss Aversion,305638,Crash
1567,Commodities,55,Herd,279034,Sideways
1568,Gold,65,Herd,58366,Volatile
1569,Gold,66,Loss Aversion,203942,Bull Run
1570,Bonds,97,Confirmation,496879,Crash
1571,Crypto,25,Confirmation,246058,Volatile
1572,Bonds,19,Loss Aversion,52028,Sideways
1573,Gold,61,Panic,27648,Correction
1574,Crypto,16,Confirmation,151537,Crash
1575,Real Estate,29,Herd,25966,Bull Run
1576,Commodities,14,Confirmation,63990,Sideways
1577,Real Estate,3,Loss Aversion,143602,Sideways
1578,Stocks,66,FOMO,42261,Crash
1579,Gold,34,Calm,108520,Crash
1580,Bonds,7,Loss Aversion,412226,Bull Run
1581,Bonds,44,FOMO,206330,Bull Run
1582,Crypto,97,Loss Aversion,205539,Sideways
1583,Commodities,28,Herd,13660,Bull Run
1584,Bonds,86,Panic,264627,Correction
1585,Commodities,76,FOMO,158238,Correction
1586,Stocks,98,Herd,291888,Crash
1587,Real Estate,45,Loss Aversion,81797,Volatile
1588,Real Estate,70,Confirmation,437451,Crash
1589,Real Estate,96,Calm,417659,Sideways
1590,Commodities,37,Panic,339442,Volatile
1591,Bonds,59,FOMO,263005,Sideways
1592,Bonds,66,Panic,92259,Correction
1593,Crypto,98,Calm,184016,Volatile
1594,Bonds,91,Herd,190172,Sideways
1595,Gold,2,Calm,254531,Bull Run
1596,Real Estate,26,Calm,209105,Correction
1597,Commodities,78,Loss Aversion,275168,Sideways
1598,Gold,6,Confirmation,54077,Sideways
1599,Real Estate,10,FOMO,297944,Bull Run
1600,Bonds,30,Loss Aversion,347921,Crash
1601,Gold,85,Loss Aversion,352111,Volatile
1602,Stocks,78,Loss Aversion,363119,Correction
1603,Gold,1,Loss Aversion,37175,Volatile
1604,Gold,26,Loss Aversion,259346,Correction
1605,Crypto,26,Panic,273546,Crash
1606,Bonds,41,FOMO,258812,Correction
1607,Commodities,33,Herd,290505,Bull Run
1608,Real Estate,94,Loss Aversion,480497,Sideways
1609,Gold,74,Herd,405985,Sideways
1610,Stocks,5,Panic,188324,Sideways
1611,Commodities,53,Loss Aversion,332058,Crash
1612,Bonds,28,Panic,123610,Bull Run
1613,Commodities,48,Loss Aversion,335783,Bull Run
1614,Real Estate,71,Herd,468155,Bull Run
1615,Commodities,42,Panic,177693,Correction
1616,Gold,39,Panic,408063,Volatile
1617,Stocks,54,Calm,110152,Correction
1618,Real Estate,100,Loss Aversion,20653,Bull Run
1619,Commodities,24,Loss Aversion,173220,Bull Run
1620,Gold,74,Calm,427892,Crash
1621,Bonds,57,Herd,295267,Volatile
1622,Bonds,52,Herd,409953,Crash
1623,Gold,47,Panic,365440,Bull Run
1624,Crypto,14,Herd,58662,Bull Run
1625,Bonds,87,Panic,320845,Bull Run
1626,Crypto,92,Herd,365556,Bull Run
1627,Commodities,54,Confirmation,440420,Correction
1628,Real Estate,86,FOMO,86436,Crash
1629,Commodities,85,Loss Aversion,155183,Sideways
1630,Commodities,90,FOMO,320509,Correction
1631,Commodities,100,Loss Aversion,435751,Bull Run
1632,Stocks,16,Panic,32594,Correction
1633,Gold,36,Panic,369898,Volatile
1634,Bonds,65,Herd,441037,Crash
1635,Gold,37,Confirmation,199667,Sideways
1636,Crypto,29,Calm,151808,Bull Run
1637,Crypto,99,Loss Aversion,126242,Correction
1638,Stocks,8,Panic,322597,Correction
1639,Bonds,13,FOMO,249862,Correction
1640,Stocks,50,Confirmation,117446,Bull Run
1641,Stocks,70,Confirmation,229187,Volatile
1642,Real Estate,53,FOMO,69001,Bull Run
1643,Gold,36,Confirmation,69468,Volatile
1644,Stocks,83,Confirmation,43443,Bull Run
1645,Bonds,61,Loss Aversion,78059,Bull Run
1646,Gold,73,FOMO,335559,Crash
1647,Bonds,56,Calm,499348,Volatile
1648,Stocks,31,Calm,498836,Volatile
1649,Stocks,60,Calm,7207,Correction
1650,Crypto,18,Loss Aversion,103447,Correction
1651,Stocks,42,Calm,288267,Correction
1652,Commodities,78,Herd,83434,Volatile
1653,Commodities,20,FOMO,410770,Bull Run
1654,Real Estate,65,Calm,441479,Bull Run
1655,Gold,72,FOMO,74629,Sideways
1656,Gold,58,Confirmation,131080,Volatile
1657,Bonds,34,Herd,33296,Crash
1658,Real Estate,44,FOMO,352099,Bull Run
1659,Real Estate,27,FOMO,404664,Crash
1660,Gold,15,Loss Aversion,151888,Correction
1661,Crypto,39,Calm,264161,Correction
1662,Crypto,25,Calm,182923,Volatile
1663,Bonds,91,Loss Aversion,116808,Bull Run
1664,Bonds,93,Calm,135428,Volatile
1665,Commodities,23,Panic,264207,Volatile
1666,Stocks,89,Herd,334612,Correction
1667,Real Estate,29,Calm,245790,Crash
1668,Bonds,80,Panic,457469,Bull Run
1669,Bonds,74,Confirmation,132254,Correction
1670,Bonds,13,FOMO,98069,Sideways
1671,Commodities,68,Loss Aversion,382849,Crash
1672,Crypto,32,Confirmation,437376,Sideways
1673,Commodities,78,Herd,82122,Volatile
1674,Gold,17,Calm,287507,Bull Run
1675,Gold,22,FOMO,400428,Volatile
1676,Bonds,53,Loss Aversion,446217,Bull Run
1677,Real Estate,45,Confirmation,270664,Sideways
1678,Commodities,42,FOMO,489940,Sideways
1679,Gold,15,Confirmation,295024,Bull Run
1680,Stocks,7,Loss Aversion,371157,Crash
1681,Bonds,19,Herd,22188,Bull Run
1682,Bonds,35,Panic,34144,Bull Run
1683,Gold,28,Herd,266649,Crash
1684,Real Estate,99,Herd,358059,Bull Run
1685,Real Estate,39,FOMO,379934,Correction
1686,Bonds,87,Panic,460547,Crash
1687,Gold,1,Panic,5337,Volatile
1688,Stocks,78,FOMO,34438,Bull Run
1689,Commodities,11,Confirmation,277207,Bull Run
1690,Bonds,76,Herd,457755,Correction
1691,Real Estate,16,Panic,272343,Volatile
1692,Gold,26,Calm,205595,Bull Run
1693,Bonds,67,FOMO,369265,Bull Run
1694,Bonds,8,Loss Aversion,288247,Volatile
1695,Bonds,29,Herd,303043,Correction
1696,Crypto,19,Confirmation,238400,Bull Run
1697,Gold,20,Calm,123714,Volatile
1698,Bonds,89,FOMO,197401,Sideways
1699,Gold,89,Calm,469045,Sideways
1700,Crypto,24,Herd,229460,Sideways
1701,Commodities,28,Loss Aversion,157880,Crash
1702,Commodities,4,Confirmation,161604,Sideways
1703,Bonds,92,Confirmation,339719,Bull Run
1704,Gold,1,Panic,17137,Volatile
1705,Commodities,35,FOMO,258552,Volatile
1706,Crypto,8,Panic,387598,Crash
1707,Commodities,42,Panic,484376,Correction
1708,Bonds,90,Confirmation,444327,Crash
1709,Stocks,36,Herd,40891,Sideways
1710,Commodities,35,FOMO,143426,Bull Run
1711,Crypto,70,Herd,125104,Correction
1712,Crypto,14,Calm,112542,Volatile
1713,Crypto,100,Herd,255798,Volatile
1714,Bonds,14,Panic,373935,Bull Run
1715,Real Estate,57,Herd,116547,Bull Run
1716,Real Estate,100,FOMO,120689,Volatile
1717,Bonds,41,Calm,404586,Bull Run
1718,Crypto,5,Loss Aversion,137535,Bull Run
1719,Stocks,100,Calm,84685,Sideways
1720,Real Estate,33,FOMO,455219,Bull Run
1721,Commodities,86,FOMO,456929,Bull Run
1722,Bonds,65,Panic,270168,Bull Run
1723,Stocks,47,Panic,123675,Crash
1724,Real Estate,12,Herd,380594,Crash
1725,Real Estate,36,Confirmation,55465,Volatile
1726,Crypto,57,Panic,255138,Bull Run
1727,Bonds,15,Loss Aversion,121215,Volatile
1728,Gold,54,Confirmation,497542,Sideways
1729,Real Estate,3,Confirmation,65759,Bull Run
1730,Real Estate,64,Confirmation,291216,Sideways
1731,Bonds,99,FOMO,470314,Correction
1732,Stocks,78,Calm,71341,Volatile
1733,Commodities,2,Panic,332102,Volatile
1734,Commodities,92,Herd,139497,Correction
1735,Gold,32,Confirmation,333309,Crash
1736,Bonds,10,Loss Aversion,185341,Volatile
1737,Real Estate,69,Herd,10064,Sideways
1738,Gold,27,Calm,73096,Correction
1739,Commodities,35,Loss Aversion,377036,Volatile
1740,Bonds,11,Herd,252724,Volatile
1741,Stocks,30,FOMO,26606,Bull Run
1742,Gold,47,Calm,210533,Sideways
1743,Stocks,33,Calm,389649,Crash
1744,Crypto,60,Panic,455818,Correction
1745,Stocks,28,Loss Aversion,177838,Volatile
1746,Bonds,78,Calm,299766,Sideways
1747,Commodities,8,Panic,64534,Crash
1748,Real Estate,24,Confirmation,378641,Bull Run
1749,Gold,76,Herd,429426,Crash
1750,Real Estate,53,Herd,341740,Crash
1751,Crypto,83,Calm,260495,Crash
1752,Real Estate,49,Panic,315313,Volatile
1753,Commodities,28,FOMO,281681,Correction
1754,Real Estate,81,Loss Aversion,308431,Volatile
1755,Gold,98,Calm,84943,Bull Run
1756,Bonds,37,Panic,125834,Correction
1757,Crypto,99,Loss Aversion,18123,Sideways
1758,Stocks,99,FOMO,64580,Volatile
1759,Gold,72,Loss Aversion,315847,Correction
1760,Real Estate,66,FOMO,211675,Correction
1761,Gold,72,Herd,188349,Crash
1762,Bonds,75,Loss Aversion,40057,Sideways
1763,Gold,97,FOMO,341159,Sideways
1764,Bonds,52,Confirmation,296542,Crash
1765,Bonds,75,Confirmation,44698,Crash
1766,Commodities,67,Calm,140778,Volatile
1767,Commodities,32,Calm,496792,Sideways
1768,Commodities,6,FOMO,478697,Sideways
1769,Crypto,85,Herd,116925,Crash
1770,Stocks,38,Loss Aversion,355348,Correction
1771,Crypto,48,Confirmation,468248,Crash
1772,Stocks,66,Panic,92479,Bull Run
1773,Stocks,65,Herd,47425,Sideways
1774,Crypto,25,Confirmation,488617,Correction
1775,Gold,21,Loss Aversion,43009,Volatile
1776,Crypto,51,Loss Aversion,90594,Bull Run
1777,Bonds,27,Panic,293721,Crash
1778,Gold,1,Calm,322714,Volatile
1779,Bonds,79,Panic,403905,Volatile
1780,Stocks,62,FOMO,474247,Sideways
1781,Crypto,15,Confirmation,311332,Bull Run
1782,Gold,63,Loss Aversion,271103,Sideways
1783,Stocks,71,Loss Aversion,398156,Sideways
1784,Real Estate,71,Calm,227157,Bull Run
1785,Commodities,65,Loss Aversion,215644,Sideways
1786,Real Estate,54,Herd,438272,Volatile
1787,Gold,58,Herd,225101,Sideways
1788,Stocks,77,Confirmation,408067,Crash
1789,Stocks,60,Loss Aversion,149439,Volatile
1790,Commodities,20,FOMO,438263,Volatile
1791,Real Estate,29,Confirmation,246624,Volatile
1792,Bonds,44,Herd,302587,Bull Run
1793,Real Estate,9,Panic,455669,Correction
1794,Bonds,59,Panic,196023,Correction
1795,Gold,100,Herd,111862,Correction
1796,Gold,35,FOMO,37025,Correction
1797,Gold,53,FOMO,404093,Sideways
1798,Crypto,29,Calm,34185,Volatile
1799,Commodities,34,FOMO,464160,Bull Run
1800,Bonds,51,Loss Aversion,291832,Sideways
1801,Real Estate,8,FOMO,316199,Crash
1802,Gold,69,Calm,265083,Bull Run
1803,Commodities,4,Herd,215229,Volatile
1804,Stocks,28,FOMO,474957,Correction
1805,Crypto,22,Herd,221567,Crash
1806,Gold,51,Panic,467016,Volatile
1807,Bonds,82,FOMO,51973,Crash
1808,Stocks,89,FOMO,177721,Bull Run
1809,Crypto,78,Panic,159915,Volatile
1810,Stocks,95,Loss Aversion,95761,Sideways
1811,Gold,24,Confirmation,40354,Volatile
1812,Bonds,35,FOMO,208840,Crash
1813,Commodities,54,Panic,352816,Sideways
1814,Commodities,10,Confirmation,90065,Volatile
1815,Real Estate,69,Panic,310456,Correction
1816,Real Estate,49,Herd,30243,Bull Run
1817,Bonds,4,FOMO,373213,Crash
1818,Commodities,48,Panic,352488,Crash
1819,Crypto,32,Loss Aversion,499978,Bull Run
1820,Commodities,94,Herd,249250,Crash
1821,Stocks,64,Calm,440064,Correction
1822,Stocks,29,Panic,347758,Bull Run
1823,Real Estate,59,Confirmation,447323,Volatile
1824,Gold,20,Panic,134836,Correction
1825,Bonds,80,Herd,340743,Correction
1826,Stocks,84,FOMO,366686,Bull Run
1827,Bonds,14,Panic,457011,Correction
1828,Gold,77,Calm,184234,Correction
1829,Real Estate,55,Calm,87066,Volatile
1830,Crypto,44,Panic,122399,Volatile
1831,Commodities,68,Herd,415626,Correction
1832,Real Estate,7,Loss Aversion,60646,Correction
1833,Gold,41,Loss Aversion,433361,Correction
1834,Crypto,82,Confirmation,486590,Volatile
1835,Bonds,57,Loss Aversion,57820,Sideways
1836,Crypto,8,Herd,326486,Crash
1837,Crypto,40,Confirmation,411079,Correction
1838,Real Estate,92,Loss Aversion,125391,Sideways
1839,Gold,33,Confirmation,335273,Correction
1840,Gold,49,Confirmation,469245,Correction
1841,Crypto,100,Confirmation,5518,Sideways
1842,Stocks,75,Loss Aversion,338669,Volatile
1843,Bonds,8,Calm,389699,Volatile
1844,Real Estate,18,Calm,242022,Crash
1845,Crypto,6,Confirmation,482239,Correction
1846,Commodities,75,Confirmation,313336,Volatile
1847,Commodities,36,Confirmation,97829,Crash
1848,Bonds,91,Confirmation,126512,Correction
1849,Real Estate,53,FOMO,221281,Volatile
1850,Crypto,81,FOMO,402417,Volatile
1851,Stocks,94,Confirmation,459269,Correction
1852,Commodities,30,Loss Aversion,321336,Sideways
1853,Crypto,2,Loss Aversion,412950,Correction
1854,Stocks,16,FOMO,87239,Crash
1855,Stocks,99,Loss Aversion,234846,Volatile
1856,Real Estate,11,Calm,78405,Bull Run
1857,Commodities,67,Panic,475828,Crash
1858,Commodities,84,Confirmation,212202,Sideways
1859,Gold,40,Herd,59351,Bull Run
1860,Stocks,20,Confirmation,391691,Bull Run
1861,Crypto,89,Herd,399342,Bull Run
