id,username,level,xp_points,badge,score
1492,Delta,39,4605,None,11.02
1493,Zeta,12,1187,None,60.99
1494,Bravo,9,868,None,97.84
1495,Sigma,21,2080,Bronze,35.98
1496,Sigma,42,3171,None,26.03
1497,Zeta,45,3149,Gold,53.09
1498,Charlie,28,2007,Silver,81.03
1499,Echo,31,525,Platinum,14.44
1500,Echo,35,2824,Gold,37.81
1501,Zeta,44,4013,None,43.72
1502,Nova,33,4813,Platinum,43.2
1503,Nova,43,1641,Silver,98.7
1504,Echo,41,2104,Platinum,93.16
1505,Charlie,34,881,Bronze,63.34
1506,Zeta,3,1327,Gold,85.91
1507,Delta,25,1646,Platinum,7.39
1508,Foxtrot,2,1802,Silver,51.92
1509,Gamma,10,1409,Gold,48.8
1510,Foxtrot,23,3158,Gold,54.49
1511,Zeta,2,4029,Bronze,94.11
1512,Zeta,30,1086,None,88.63
1513,Sigma,43,1099,None,99.1
1514,Zeta,7,1177,Platinum,97.83
1515,Bravo,15,3010,Gold,59.95
1516,Nova,35,4378,Bronze,86.64
1517,Alpha,48,455,Silver,52.9
1518,Sigma,27,1656,Platinum,7.29
1519,Alpha,1,2043,Platinum,4.5
1520,Sigma,19,762,None,3.68
1521,Delta,1,2691,Silver,67.01
1522,Sigma,34,1397,Platinum,21.98
1523,Sigma,40,355,Platinum,46.01
1524,Charlie,15,2140,Bronze,45.0
1525,Delta,40,1000,Silver,28.33
1526,Echo,13,3023,Silver,25.27
1527,Delta,21,910,Silver,77.25
1528,Zeta,13,1131,None,13.14
1529,Charlie,1,352,Silver,7.87
1530,Foxtrot,34,3900,Gold,26.12
1531,Charlie,16,348,None,85.14
1532,Zeta,26,1825,Silver,80.1
1533,Nova,34,3246,Platinum,37.72
1534,Nova,45,3220,Platinum,75.59
1535,Charlie,11,4612,Silver,39.13
1536,Echo,14,3601,Silver,37.88
1537,Charlie,20,3157,Platinum,34.64
1538,Delta,10,3396,Silver,44.97
1539,Gamma,13,3917,Bronze,44.02
1540,Delta,30,2199,Gold,58.94
1541,Echo,35,1697,Silver,70.74
1542,Bravo,49,2099,Bronze,27.03
1543,Bravo,50,4012,Gold,3.29
1544,Bravo,45,4534,Platinum,65.02
1545,Gamma,33,4037,None,25.73
1546,Zeta,24,2419,Platinum,83.5
1547,Delta,12,3191,Bronze,40.25
1548,Gamma,45,4338,Gold,77.3
1549,Foxtrot,23,452,Gold,4.04
1550,Delta,28,3379,Platinum,65.55
1551,Alpha,23,3695,Gold,1.46
1552,Echo,48,824,Bronze,86.85
1553,Zeta,3,3390,Bronze,60.74
1554,Charlie,21,2287,None,80.55
1555,Foxtrot,16,4073,Gold,55.23
1556,Alpha,10,4405,Silver,67.03
1557,Bravo,3,4880,Silver,20.6
1558,Foxtrot,46,2332,Bronze,60.61
1559,Echo,9,2538,Platinum,59.57
1560,Nova,29,3274,None,85.95
1561,Gamma,7,4707,None,75.73
1562,Gamma,8,1259,Platinum,6.56
1563,Alpha,10,2760,Platinum,94.97
1564,Delta,17,2959,Platinum,71.58
1565,Gamma,35,3352,Platinum,39.89
1566,Bravo,6,437,Silver,66.59
1567,Zeta,40,4076,Bronze,53.8
1568,Charlie,8,4389,Silver,67.65
1569,Echo,42,1655,Platinum,24.09
1570,Alpha,18,1387,Bronze,8.01
1571,Bravo,12,836,None,18.83
1572,Zeta,49,3652,Silver,42.15
1573,Foxtrot,26,310,Silver,50.92
1574,Gamma,30,3532,Silver,62.8
1575,Alpha,29,3807,None,78.29
1576,Gamma,14,4898,Silver,66.2
1577,Delta,42,341,None,61.78
1578,Delta,5,2788,Bronze,27.09
1579,Echo,39,3831,Platinum,72.89
1580,Charlie,21,3980,None,51.71
1581,Bravo,49,1370,Bronze,98.97
1582,Foxtrot,42,2136,Gold,62.77
1583,Zeta,30,1159,Platinum,4.02
1584,Charlie,32,2862,Bronze,11.24
1585,Zeta,8,393,Gold,3.44
1586,Charlie,17,3130,Platinum,22.55
1587,Alpha,21,591,Bronze,83.39
1588,Alpha,26,882,Platinum,62.59
1589,Echo,12,451,None,43.93
1590,Foxtrot,31,2723,Bronze,61.63
1591,Charlie,1,2890,Silver,22.13
1592,Gamma,35,4910,Gold,52.25
1593,Sigma,47,923,Gold,15.63
1594,Bravo,18,324,Platinum,19.74
1595,Alpha,9,1097,Silver,97.76
1596,Zeta,45,178,Platinum,61.71
1597,Delta,46,4922,Bronze,90.76
1598,Gamma,6,4616,Silver,18.62
1599,Zeta,15,2201,Gold,64.04
1600,Charlie,27,1372,Gold,63.0
1601,Gamma,5,1478,Platinum,49.0
1602,Zeta,15,466,Gold,6.2
1603,Gamma,4,1562,Bronze,73.87
1604,Zeta,11,1206,Platinum,89.2
1605,Foxtrot,50,3641,Silver,44.66
1606,Gamma,48,1731,None,5.06
1607,Gamma,14,2084,Silver,68.0
1608,Charlie,23,4878,Silver,87.48
1609,Bravo,23,2871,Silver,62.45
1610,Nova,44,2292,Bronze,73.14
1611,Delta,37,1491,None,42.03
1612,Nova,32,3132,Bronze,68.09
1613,Echo,10,2410,Gold,39.96
1614,Delta,27,1527,Platinum,31.03
1615,Gamma,48,1107,Silver,48.03
1616,Gamma,18,2981,None,77.77
1617,Foxtrot,22,3425,Silver,37.49
1618,Alpha,38,2017,Bronze,69.23
1619,Foxtrot,2,2076,Silver,86.28
1620,Nova,49,3226,Platinum,46.09
1621,Echo,10,3953,Bronze,97.73
1622,Nova,17,3194,Bronze,16.67
1623,Foxtrot,12,4700,Platinum,41.44
1624,Delta,27,2273,Silver,74.32
1625,Zeta,39,3778,Bronze,88.17
1626,Foxtrot,43,3551,Bronze,41.95
1627,Zeta,39,3190,Gold,15.63
1628,Nova,40,3361,Bronze,81.89
1629,Foxtrot,9,3285,Gold,87.54
1630,Bravo,27,3160,Silver,47.48
1631,Zeta,33,2069,Bronze,10.85
1632,Delta,16,1330,Silver,85.87
1633,Alpha,49,848,Platinum,26.38
1634,Echo,47,1002,Bronze,19.88
1635,Bravo,28,1025,None,18.97
1636,Foxtrot,43,4996,Gold,80.73
1637,Sigma,13,781,Platinum,49.97
1638,Echo,34,2060,Gold,68.77
1639,Gamma,24,2236,Gold,76.68
1640,Bravo,27,3127,Silver,3.83
1641,Sigma,30,260,Gold,50.97
1642,Nova,3,2673,Bronze,31.94
1643,Alpha,27,3390,Platinum,1.59
1644,Nova,15,1744,None,60.32
1645,Nova,50,4563,None,13.03
1646,Bravo,46,4228,Silver,1.04
1647,Foxtrot,25,2223,Bronze,88.16
1648,Sigma,7,896,Bronze,20.14
1649,Bravo,12,3563,Gold,55.26
1650,Echo,11,3445,Platinum,20.03
1651,Delta,34,1809,Gold,30.63
1652,Charlie,10,3678,Silver,30.67
1653,Charlie,24,197,Silver,21.49
1654,Bravo,41,4967,Platinum,73.06
1655,Bravo,47,1979,Gold,32.09
1656,Gamma,23,4206,Silver,78.3
1657,Zeta,44,774,Gold,5.64
1658,Delta,26,3289,Platinum,54.4
1659,Alpha,46,4710,Silver,25.48
1660,Charlie,40,2321,Silver,23.96
1661,Bravo,14,3338,Gold,94.34
1662,Sigma,10,3100,Silver,30.83
1663,Bravo,16,1585,Gold,9.25
1664,Nova,20,217,Gold,54.18
1665,Nova,17,4207,None,53.03
1666,Nova,45,3754,None,99.54
1667,Alpha,7,492,Platinum,98.24
1668,Charlie,1,3946,Bronze,50.17
1669,Charlie,5,2619,Gold,66.06
1670,Zeta,26,3640,Gold,58.75
1671,Foxtrot,29,3342,Bronze,22.66
1672,Foxtrot,34,2590,Platinum,18.87
1673,Foxtrot,31,2214,Gold,6.1
1674,Sigma,23,3487,Silver,56.79
1675,Echo,8,2200,None,36.92
1676,Echo,32,298,Gold,9.66
1677,Foxtrot,19,4950,Silver,73.82
1678,Delta,7,2868,Platinum,89.56
1679,Delta,24,3515,Silver,85.23
1680,Nova,37,1864,None,21.45
1681,Charlie,27,3513,Platinum,41.48
1682,Delta,33,4438,Silver,29.63
1683,Nova,31,1151,Platinum,4.91
1684,Gamma,10,1592,Bronze,25.15
1685,Gamma,20,3146,Platinum,77.38
1686,Alpha,37,1426,Bronze,94.07
1687,Delta,39,2033,None,82.57
1688,Echo,22,3019,Platinum,33.1
1689,Echo,5,2223,Silver,23.91
1690,Charlie,50,1860,Bronze,46.65
1691,Bravo,22,2966,Platinum,43.41
1692,Nova,30,3949,Silver,6.93
1693,Gamma,19,4318,None,96.06
1694,Charlie,21,75,None,69.05
1695,Alpha,31,1796,Gold,82.03
1696,Nova,18,2231,Platinum,79.87
1697,Sigma,3,2091,None,64.91
1698,Nova,32,1177,Platinum,84.38
1699,Delta,6,2000,None,17.1
1700,Charlie,14,735,Silver,97.46
1701,Zeta,32,4697,None,65.89
1702,Foxtrot,46,324,Platinum,38.42
1703,Delta,26,3623,Silver,78.82
1704,Gamma,35,3441,Silver,29.23
1705,Charlie,6,114,Silver,70.37
1706,Zeta,21,614,Platinum,51.37
1707,Sigma,42,1939,Platinum,48.5
1708,Echo,44,1459,None,44.07
1709,Alpha,27,733,Bronze,32.29
1710,Delta,50,1750,None,74.83
1711,Foxtrot,3,2848,Gold,28.65
1712,Charlie,26,4645,Silver,13.68
1713,Sigma,18,3750,Silver,32.12
1714,Zeta,32,2541,Bronze,41.5
1715,Charlie,23,560,Platinum,56.28
1716,Foxtrot,23,3888,Silver,76.98
1717,Zeta,29,684,Silver,2.16
1718,Sigma,50,3281,Bronze,34.27
1719,Foxtrot,26,2400,Silver,51.29
1720,Charlie,16,4872,Bronze,64.32
1721,Sigma,47,1849,Silver,39.17
1722,Sigma,34,434,Silver,26.13
1723,Delta,3,3821,Platinum,57.35
1724,Sigma,48,1819,Gold,86.09
1725,Foxtrot,37,2041,None,58.66
1726,Delta,32,3608,Platinum,12.79
1727,Foxtrot,1,589,Gold,12.49
1728,Nova,12,1191,Platinum,17.87
1729,Alpha,23,3079,None,63.08
1730,Sigma,22,4489,Silver,22.79
1731,Echo,42,1574,None,18.88
1732,Gamma,49,2850,Platinum,93.26
1733,Alpha,25,813,Silver,41.31
1734,Echo,14,3058,None,89.98
1735,Zeta,40,1255,Gold,86.45
1736,Echo,7,1019,Silver,11.06
1737,Sigma,3,863,None,72.46
1738,Sigma,36,434,Silver,58.25
1739,Zeta,33,220,Bronze,98.08
1740,Nova,40,761,Gold,83.3
1741,Echo,13,2049,Bronze,37.86
1742,Bravo,26,1556,Silver,97.4
1743,Charlie,11,3021,Bronze,33.25
1744,Foxtrot,1,3217,Silver,45.59
1745,Charlie,8,856,Gold,9.63
1746,Charlie,25,2710,Gold,86.36
1747,Nova,42,53,Gold,83.67
1748,Echo,23,1249,Platinum,28.21
1749,Nova,42,1709,Silver,18.5
1750,Delta,12,4744,None,18.81
1751,Zeta,16,1535,Gold,58.07
1752,Alpha,45,3625,None,67.67
1753,Sigma,4,4930,Bronze,47.26
1754,Echo,21,3026,None,50.93
1755,Alpha,20,2485,Gold,15.59
1756,Charlie,23,1225,None,19.97
1757,Alpha,42,4615,None,17.92
1758,Zeta,14,1135,Platinum,54.14
1759,Sigma,14,21,Silver,51.62
1760,Zeta,6,2206,Platinum,73.28
1761,Bravo,25,2746,Gold,1.7
1762,Gamma,22,944,None,19.26
1763,Charlie,31,4689,Bronze,39.27
1764,Alpha,48,3116,None,93.8
1765,Gamma,7,3842,Platinum,17.55
1766,Bravo,30,1268,Platinum,9.37
1767,Zeta,14,4078,Silver,22.33
1768,Zeta,38,4962,Silver,74.35
1769,Zeta,1,2702,Silver,36.85
1770,Zeta,14,3179,None,95.97
1771,Gamma,45,4518,Platinum,94.5
1772,Foxtrot,18,2228,None,26.83
1773,Charlie,17,3951,Silver,16.9
1774,Sigma,3,138,None,0.97
1775,Charlie,14,3361,Silver,14.22
1776,Delta,42,4186,Bronze,42.11
1777,Gamma,27,125,Gold,8.94
1778,Foxtrot,31,4878,Bronze,4.34
1779,Delta,36,3423,None,88.28
1780,Foxtrot,7,298,Silver,65.77
1781,Sigma,8,4232,Gold,44.92
1782,Charlie,18,2327,Bronze,83.16
1783,Nova,17,708,Silver,94.89
1784,Alpha,1,4322,None,22.76
1785,Zeta,15,4630,Gold,63.01
1786,Nova,21,1713,Silver,83.33
1787,Gamma,50,843,Silver,97.61
1788,Bravo,4,2056,Platinum,21.6
1789,Zeta,35,4205,Silver,49.96
1790,Echo,1,3718,Gold,66.7
1791,Delta,8,1146,Gold,50.07
1792,Alpha,30,1338,None,86.42
1793,Zeta,22,4178,Bronze,6.5
1794,Charlie,28,1644,Silver,13.7
1795,Sigma,1,4183,None,0.45
1796,Echo,14,2596,Silver,54.67
1797,Sigma,16,2761,Platinum,14.51
1798,Gamma,48,304,Gold,5.85
1799,Echo,43,4934,Silver,53.33
1800,Gamma,7,930,Bronze,93.09
1801,Bravo,11,2019,Gold,97.04
1802,Delta,47,3908,Gold,90.38
1803,Sigma,16,2233,Gold,72.19
1804,Echo,10,3757,Silver,42.04
1805,Sigma,44,1060,Gold,13.99
1806,Nova,29,3082,Gold,81.8
1807,Foxtrot,17,2977,None,24.59
1808,Charlie,45,1012,Silver,3.04
1809,Echo,29,292,Gold,41.13
1810,Zeta,23,4020,Silver,49.61
1811,Bravo,33,1930,Gold,97.66
1812,Gamma,36,1385,Silver,91.27
1813,Sigma,9,4616,Bronze,25.29
1814,Alpha,4,4507,None,32.4
1815,Charlie,29,1539,None,88.83
1816,Sigma,32,2684,Platinum,59.68
1817,Charlie,49,1645,Platinum,19.35
1818,Charlie,47,2525,None,39.02
1819,Bravo,39,133,None,4.32
1820,Charlie,5,950,Gold,11.28
1821,Zeta,10,1860,Platinum,56.01
1822,Foxtrot,28,3489,Bronze,18.31
1823,Gamma,6,2346,Silver,5.33
1824,Delta,14,3176,Platinum,61.91
1825,Echo,10,1576,Silver,3.98
1826,Gamma,37,4795,Gold,36.81
1827,Charlie,1,3838,None,15.63
1828,Alpha,33,3788,Platinum,9.17
1829,Sigma,22,2672,Bronze,72.76
1830,Charlie,41,4258,Gold,11.42
1831,Zeta,39,4957,None,64.07
1832,Gamma,45,4960,Bronze,50.91
1833,Gamma,41,2514,Silver,43.14
1834,Gamma,23,3928,None,64.51
1835,Charlie,50,2391,None,2.4
1836,Echo,21,2113,Gold,64.77
1837,Nova,32,2861,Platinum,44.58
1838,Nova,1,2812,Gold,27.38
1839,Nova,21,2679,Silver,97.78
1840,Delta,34,1911,Platinum,87.47
1841,Nova,49,469,Platinum,52.05
1842,Alpha,23,1103,Silver,38.68
1843,Sigma,39,1286,Gold,53.19
1844,Bravo,37,3227,Platinum,12.41
1845,Echo,44,2632,Bronze,21.88
1846,Zeta,11,4295,Silver,66.84
1847,Bravo,37,3246,Silver,62.56
1848,Charlie,17,1513,Gold,14.95
1849,Echo,49,75,None,84.08
1850,Charlie,19,234,Platinum,39.4
1851,Sigma,11,2832,Platinum,46.15
1852,Zeta,34,2275,Gold,74.79
1853,Gamma,20,3647,Platinum,65.8
1854,Echo,30,3585,None,4.35
1855,Foxtrot,11,1014,Silver,50.08
1856,Nova,6,2993,Gold,63.68
1857,Charlie,17,58,Bronze,23.18
1858,Sigma,32,4419,Silver,13.82
1859,Delta,7,2731,None,42.84
1860,Charlie,1,1637,Silver,65.07
1861,Gamma,13,4664,None,60.54
1862,Echo,42,1851,Silver,13.39
1863,Zeta,28,3013,Bronze,4.26
1864,Sigma,35,927,Bronze,59.48
1865,Sigma,11,782,Gold,55.55
1866,Echo,4,4554,Silver,41.51
1867,Alpha,39,3723,None,21.66
1868,Charlie,31,1532,Bronze,39.74
1869,Zeta,13,130,Gold,76.85
1870,Foxtrot,46,3791,Bronze,62.45
1871,Alpha,10,3442,Bronze,85.67
1872,Sigma,39,1030,Gold,35.31
1873,Foxtrot,24,1975,Platinum,16.21
1874,Delta,24,2295,None,46.28
1875,Sigma,30,777,Gold,31.05
1876,Echo,32,3844,None,77.9
1877,Bravo,22,1077,Platinum,91.06
1878,Nova,23,958,Bronze,27.37
1879,Delta,21,4599,Platinum,13.29
1880,Delta,14,2261,Gold,42.72
1881,Zeta,3,938,Bronze,4.44
1882,Zeta,21,4403,Platinum,97.98
1883,Alpha,17,2623,Bronze,32.02
1884,Delta,9,125,None,62.54
1885,Alpha,18,4931,Gold,13.58
1886,Charlie,35,1284,Silver,0.01
1887,Sigma,37,561,None,97.95
1888,Echo,27,1174,None,7.08
1889,Echo,2,548,None,23.92
1890,Zeta,16,4892,None,43.86
1891,Alpha,4,2253,None,53.11
1892,Foxtrot,44,1192,Silver,57.21
1893,Alpha,4,1360,None,28.27
1894,Bravo,34,4368,Silver,57.21
1895,Bravo,31,1737,Gold,26.12
1896,Nova,33,1583,Platinum,96.86
1897,Nova,23,2929,Gold,47.94
1898,Echo,34,1524,Platinum,72.96
1899,Gamma,49,138,Silver,80.36
1900,Echo,11,4419,None,40.91
1901,Charlie,1,1854,Silver,94.67
1902,Gamma,17,4719,Platinum,96.59
1903,Delta,11,2556,Silver,11.22
1904,Charlie,39,839,None,56.27
1905,Charlie,45,1790,Bronze,16.66
1906,Sigma,13,799,None,21.05
1907,Echo,7,1870,Silver,46.43
1908,Sigma,1,3847,Platinum,17.94
1909,Foxtrot,17,2392,Silver,33.96
1910,Zeta,28,2346,Platinum,88.86
1911,Nova,48,449,None,73.4
1912,Delta,37,3239,Platinum,75.81
1913,Nova,5,847,Platinum,8.33
1914,Foxtrot,11,4276,Gold,96.7
1915,Nova,37,2915,Silver,17.31
1916,Nova,20,3542,Silver,15.85
1917,Nova,40,3362,Silver,29.58
1918,Zeta,15,1620,Silver,91.12
1919,Bravo,18,2923,Silver,69.94
1920,Echo,18,4607,Gold,78.74
1921,Charlie,31,4006,Silver,71.28
1922,Delta,33,4231,Silver,66.27
1923,Charlie,4,1603,None,16.07
1924,Echo,29,3735,Platinum,40.72
1925,Alpha,7,3438,Gold,94.97
1926,Bravo,44,2488,None,77.36
1927,Sigma,5,3703,None,78.91
1928,Echo,8,3893,Platinum,56.17
1929,Charlie,43,753,Silver,97.75
1930,Delta,43,1001,Platinum,31.15
1931,Sigma,26,4063,None,49.77
1932,Gamma,10,2031,Platinum,96.94
1933,Zeta,45,3272,None,91.47
1934,Delta,47,2413,Bronze,32.24
1935,Zeta,37,3652,Gold,85.03
1936,Alpha,32,3715,Gold,92.69
1937,Zeta,29,4357,Bronze,90.33
1938,Sigma,37,2310,None,17.05
1939,Alpha,37,2162,Bronze,43.64
1940,Delta,41,1431,Bronze,30.09
1941,Echo,18,2377,Silver,37.43
1942,Echo,18,2956,None,64.91
1943,Gamma,43,4042,Gold,12.93
1944,Echo,33,2991,Platinum,9.6
1945,Zeta,42,4226,Platinum,48.66
1946,Echo,44,1663,None,84.85
1947,Nova,19,3129,Platinum,66.28
1948,Alpha,29,4189,None,61.24
1949,Delta,36,2166,Platinum,6.82
1950,Charlie,1,1971,Bronze,42.96
1951,Charlie,13,2221,Gold,17.9
1952,Delta,48,1380,Gold,83.81
1953,Echo,26,1790,Platinum,1.35
1954,Echo,20,416,Bronze,28.37
1955,Nova,1,3811,Bronze,98.89
1956,Charlie,47,3144,None,23.8
1957,Zeta,23,3098,Platinum,71.39
1958,Foxtrot,35,1155,Bronze,81.88
1959,Charlie,37,2893,Silver,69.57
1960,Alpha,35,696,Platinum,99.38
1961,Foxtrot,24,4075,Gold,95.02
1962,Nova,25,303,Bronze,51.13
1963,Alpha,18,4967,Gold,15.58
1964,Foxtrot,46,3295,Platinum,52.26
1965,Echo,4,4653,Silver,95.43
1966,Nova,11,1107,Bronze,29.97
1967,Echo,33,2313,Platinum,97.99
1968,Alpha,21,4757,Silver,76.24
1969,Delta,12,3500,Gold,46.38
1970,Nova,3,4431,None,17.18
1971,Gamma,46,4413,None,16.03
1972,Foxtrot,15,1697,Bronze,84.26
1973,Charlie,40,1025,Platinum,4.53
1974,Bravo,18,1096,None,88.24
1975,Sigma,4,4588,Silver,86.54
1976,Gamma,47,1364,Platinum,87.29
1977,Nova,12,352,Platinum,25.33
1978,Bravo,18,2656,Platinum,86.55
1979,Gamma,28,1792,Platinum,67.73
1980,Sigma,16,85,Gold,35.69
1981,Sigma,35,4497,Platinum,98.01
1982,Gamma,18,4887,Platinum,71.31
1983,Nova,44,1206,Gold,8.61
1984,Nova,49,460,None,23.43
1985,Gamma,10,999,None,80.81
1986,Gamma,31,4418,Silver,45.77
1987,Alpha,13,4897,None,44.82
1988,Gamma,24,278,Platinum,55.44
1989,Gamma,21,881,Gold,92.12
1990,Zeta,22,2353,Gold,92.68
1991,Echo,7,314,Gold,89.5
1992,Bravo,44,479,Silver,1.85
1993,Alpha,38,4275,Platinum,14.13
1994,Bravo,38,3218,None,96.35
1995,Charlie,14,2477,Platinum,13.94
1996,Gamma,19,4501,Silver,42.6
1997,Foxtrot,36,2878,Bronze,61.51
1998,Nova,27,2247,None,21.49
1999,Foxtrot,29,3774,Gold,73.54
2000,Nova,26,4609,Bronze,51.06
2001,Echo,32,1789,Platinum,51.47
2002,Delta,34,1307,Gold,65.84
2003,Delta,26,3633,Platinum,53.69
2004,Sigma,37,732,Gold,14.47
2005,Zeta,38,2427,Bronze,97.0
2006,Echo,2,3559,None,10.01
2007,Zeta,16,4069,None,29.95
2008,Zeta,48,1750,Gold,33.32
2009,Sigma,7,2484,None,92.78
2010,Zeta,45,776,None,76.47
2011,Alpha,26,1616,None,99.0
2012,Zeta,38,4075,Bronze,60.61
2013,Foxtrot,14,1554,None,93.94
2014,Zeta,1,1358,Gold,21.54
2015,Sigma,20,764,Silver,30.72
2016,Delta,46,4253,Platinum,28.52
2017,Charlie,36,1344,None,42.33
2018,Gamma,22,3219,Platinum,97.8
2019,Foxtrot,26,52,Platinum,12.7
2020,Foxtrot,21,103,Bronze,44.16
2021,Sigma,18,2884,None,35.33
2022,Delta,5,1723,Bronze,93.93
2023,Sigma,30,3137,Platinum,93.44
2024,Bravo,50,4683,Gold,87.6
2025,Zeta,6,2246,Silver,41.68
2026,Sigma,49,2947,Gold,15.91
2027,Nova,43,1038,Silver,35.16
2028,Gamma,18,4153,Platinum,88.23
2029,Foxtrot,31,4598,Platinum,57.85
2030,Bravo,29,2028,Platinum,37.95
2031,Delta,38,2614,Platinum,84.14
2032,Alpha,3,2424,Gold,46.49
2033,Echo,43,1600,None,97.74
2034,Nova,26,1905,Silver,5.09
2035,Alpha,9,2683,None,96.09
2036,Zeta,38,2227,Bronze,51.74
2037,Nova,33,4757,Silver,23.27
2038,Foxtrot,26,2623,Gold,58.94
2039,Delta,8,2006,Gold,66.42
2040,Echo,36,1429,Silver,95.17
2041,Sigma,34,3064,Bronze,93.49
2042,Echo,22,3696,Gold,83.76
2043,Nova,30,3700,Platinum,62.93
2044,Zeta,16,4630,Silver,22.6
2045,Nova,44,908,Gold,94.81
2046,Echo,43,4676,Platinum,92.32
2047,Sigma,14,1148,None,46.31
2048,Delta,48,2052,Gold,85.72
2049,Charlie,43,1740,Bronze,78.51
2050,Nova,41,2076,Bronze,40.21
2051,Bravo,40,2391,Silver,25.45
2052,Delta,25,4215,Bronze,89.86
2053,Delta,18,971,Gold,57.8
2054,Nova,19,715,Gold,98.45
2055,Delta,31,917,Platinum,28.43
2056,Alpha,28,932,Silver,5.82
2057,Alpha,40,431,Platinum,1.23
2058,Sigma,31,1384,Gold,40.91
2059,Zeta,8,1920,Gold,80.02
2060,Alpha,11,930,Silver,13.38
2061,Delta,3,470,Silver,74.31
2062,Zeta,23,4458,Gold,40.73
2063,Zeta,5,907,Platinum,98.02
2064,Echo,14,1787,Platinum,62.88
2065,Charlie,26,4190,Silver,5.34
2066,Alpha,50,1941,None,12.62
2067,Foxtrot,29,3145,Bronze,64.64
2068,Bravo,6,1840,Silver,39.65
2069,Bravo,2,692,Gold,76.24
2070,Bravo,41,1703,None,34.74
2071,Echo,12,4996,None,19.82
2072,Nova,11,1014,None,8.24
2073,Echo,41,71,Gold,95.78
2074,Foxtrot,8,4740,Platinum,28.41
2075,Alpha,40,784,Silver,29.97
2076,Bravo,36,4923,Bronze,32.32
2077,Bravo,46,4492,Platinum,44.5
2078,Gamma,2,2279,None,71.34
2079,Charlie,1,3508,None,77.67
2080,Bravo,4,4099,None,22.02
2081,Nova,38,2278,Platinum,3.33
2082,Zeta,16,1434,Bronze,91.18
2083,Charlie,47,3929,Gold,38.04
2084,Bravo,11,1469,None,80.9
2085,Bravo,34,2066,None,15.22
2086,Delta,29,711,Gold,72.56
2087,Nova,43,4162,None,86.45
2088,Delta,45,776,Platinum,5.81
2089,Alpha,45,4511,Gold,86.46
2090,Sigma,16,3514,Platinum,15.93
2091,Zeta,6,406,Gold,82.75
2092,Gamma,4,4031,Silver,48.9
2093,Bravo,45,1865,Gold,23.43
2094,Sigma,39,4144,None,79.1
2095,Sigma,4,2704,Bronze,20.42
2096,Echo,6,4770,Bronze,4.82
2097,Gamma,29,1429,Bronze,24.94
2098,Foxtrot,11,4686,Platinum,99.15
2099,Zeta,40,1369,Silver,61.83
2100,Delta,32,1107,Platinum,50.34
2101,Bravo,27,2249,Bronze,59.51
2102,Bravo,18,1746,Gold,55.53
2103,Foxtrot,3,4245,Silver,20.47
2104,Sigma,10,1281,Gold,17.14
2105,Echo,38,888,Gold,41.62
2106,Bravo,45,114,Silver,46.92
2107,Foxtrot,5,3352,Silver,30.66
2108,Echo,31,922,Silver,87.11
2109,Delta,47,3414,Platinum,21.76
2110,Delta,36,722,Gold,66.0
2111,Sigma,12,4583,Bronze,11.05
2112,Zeta,2,2900,Platinum,17.03
2113,Delta,26,2174,None,96.38
2114,Echo,47,3902,Platinum,27.95
2115,Echo,26,4725,Platinum,18.73
2116,Delta,1,907,Silver,30.35
2117,Echo,44,2997,Platinum,0.91
2118,Nova,16,3207,None,43.32
2119,Delta,45,4569,Platinum,81.92
2120,Sigma,9,354,None,88.61
2121,Nova,3,2658,Bronze,97.33
2122,Gamma,25,3868,Silver,49.06
2123,Zeta,12,1691,Silver,81.03
2124,Alpha,28,3224,Silver,38.27
2125,Charlie,22,833,Gold,46.24
2126,Charlie,35,4092,Silver,20.1
2127,Alpha,31,2303,None,0.72
2128,Foxtrot,29,3019,Platinum,77.8
2129,Foxtrot,29,3143,Gold,74.6
2130,Charlie,28,1596,Silver,54.23
2131,Alpha,34,495,None,89.9
2132,Delta,19,30,None,95.18
2133,Delta,42,580,Silver,5.8
2134,Nova,50,4920,Silver,35.15
2135,Gamma,39,536,Silver,22.93
2136,Sigma,20,1553,Gold,3.41
2137,Alpha,32,1257,None,30.02
2138,Zeta,21,4795,Gold,97.66
2139,Delta,44,2258,Silver,63.8
2140,Delta,9,1314,Bronze,6.63
2141,Echo,8,2193,Platinum,73.63
2142,Delta,26,2710,None,77.62
2143,Delta,6,2558,Gold,99.93
2144,Sigma,29,2055,None,1.35
2145,Zeta,43,1240,None,34.52
2146,Sigma,9,3404,Platinum,24.38
2147,Charlie,32,3267,Silver,46.23
2148,Bravo,30,2017,None,55.86
2149,Charlie,48,2787,Bronze,60.36
2150,Echo,16,144,Silver,22.77
2151,Echo,44,2384,Bronze,80.67
2152,Zeta,31,383,Silver,60.0
2153,Zeta,17,2156,Gold,90.09
2154,Nova,2,1059,Bronze,20.1
2155,Echo,27,4786,None,44.09
2156,Delta,38,1141,Gold,73.61
2157,Gamma,2,3597,Silver,99.25
2158,Foxtrot,49,869,Gold,86.95
2159,Alpha,44,3332,None,22.06
2160,Sigma,41,829,Platinum,73.2
2161,Charlie,38,1461,Platinum,59.37
2162,Charlie,42,358,Gold,34.43
2163,Alpha,38,4874,None,69.17
2164,Nova,6,2387,Gold,69.38
2165,Charlie,33,2834,Platinum,11.79
2166,Charlie,2,120,Silver,6.61
2167,Sigma,44,119,Platinum,14.85
2168,Nova,13,2494,Silver,63.53
2169,Sigma,30,4913,Silver,89.22
